Wall time,Step,Value
1719349274.9610589,2500,2734.348388671875
1719357046.5694082,52516,3962.185791015625
1719364915.771886,102500,7274.9892578125
1719372791.1289978,152516,7088.2490234375
1719380748.7486138,202500,6446.72021484375
1719388783.750032,252516,5363.173828125
1719396815.021996,302500,4709.423828125
1719404904.1196206,352516,3911.30859375
1719413035.4776342,402500,3544.767822265625
1719421237.424939,452516,3204.775146484375
1719429526.9444304,502500,2903.972412109375
1719437868.4906812,552516,2725.224609375
1719446255.0686302,602500,2553.451904296875
1719454686.433489,652516,2401.290283203125
1719463183.167331,702500,2351.395751953125
1719471759.9944694,752516,2247.265625
1719480450.9621325,802500,2206.3525390625
1719489261.729747,852516,2163.236328125
1719498110.7854996,902500,2107.7978515625
1719507039.086199,952516,2097.3505859375
1719516071.0387878,1002500,2055.53564453125
1719525184.1224966,1052516,2013.12841796875
1719534374.3295505,1102500,1985.653076171875
1719543655.921361,1152516,1983.71435546875
1719553017.999301,1202500,1964.0435791015625
1719562519.7353146,1252516,1935.46826171875
1719572128.6085827,1302500,1916.49072265625
1719581745.304688,1352516,1892.4788818359375
1719591477.914249,1402500,1897.70166015625
1719601318.077582,1452516,1871.6298828125
1719611216.7603097,1502500,1871.6783447265625
1719621234.763736,1552516,1875.233642578125
1719631327.960646,1602500,1832.2628173828125
1719641507.3234243,1652516,1829.46435546875
1719651782.8616946,1702500,1820.527587890625
1719662165.184491,1752516,1825.8369140625
1719672631.7882485,1802500,1792.1759033203125
1719683208.3861449,1852516,1785.606689453125
1719693878.181632,1902500,1789.302490234375
1719704766.7737522,1952516,1756.2369384765625
1719715677.164661,2002500,1762.6124267578125
1719726651.7147293,2052516,1744.2449951171875
1719737728.8650267,2102500,1751.70458984375
1719748898.3453507,2152516,1744.0975341796875
1719760168.4196548,2202500,1727.7445068359375
1719771522.6655376,2252516,1732.426025390625
1719782997.763576,2302500,1745.859375
1719794558.701878,2352516,1719.6357421875
1719806242.059157,2402500,1712.506103515625
1719818000.3736258,2452516,1715.4443359375
1719829875.2224612,2502500,1697.410888671875
1719841863.1102695,2552516,1691.7418212890625
1719853961.267431,2602500,1688.8177490234375
1719866151.7278545,2652516,1691.4613037109375
1719878442.5917132,2702500,1703.9072265625
1719890818.6356828,2752516,1692.4874267578125
1719903318.8390303,2802500,1698.59765625
1719915927.0093534,2852516,1672.7691650390625
1719928637.4712582,2902500,1671.88525390625
1719941477.7608738,2952516,1662.5653076171875
1719954425.905594,3002500,1653.8853759765625
1719967525.7140057,3052516,1653.4320068359375
1719980816.4192197,3102500,1641.031494140625
1719994144.9168415,3152516,1643.23583984375
1720007499.7960181,3202500,1643.5948486328125
1720021002.065367,3252516,1637.9539794921875
1720034645.892635,3302500,1651.8284912109375
1720048396.4797368,3352516,1634.50341796875
1720062230.4970915,3402500,1615.0830078125
1720076193.3569012,3452516,1622.471435546875
1720090263.6918287,3502500,1611.29296875
1720104460.7632284,3552516,1617.734619140625
1720118765.2483943,3602500,1612.10205078125
1720133226.0236554,3652516,1605.2916259765625
1720147810.643014,3702500,1605.180908203125
1720162495.2269914,3752516,1602.74365234375
1720177287.1801603,3802500,1601.2801513671875
1720192212.1553154,3852516,1595.8277587890625
1720207266.8025541,3902500,1601.23583984375
1720222466.158245,3952516,1600.930419921875
1720237776.6360583,4002500,1596.98291015625
1720253205.935408,4052516,1596.18115234375
1720268766.7663054,4102500,1582.6201171875
1720284502.2224998,4152516,1570.9725341796875
1720300364.400568,4202500,1577.5003662109375
1720316354.5176346,4252516,1572.71435546875
1720332481.15823,4302500,1590.6959228515625
1720348760.5748706,4352516,1570.0078125
1720365139.3467927,4402500,1575.75048828125
1720381588.8120043,4452516,1568.870361328125
1720398157.3789487,4502500,1557.953857421875
1720414874.2634008,4552516,1566.870849609375
1720431751.3144884,4602500,1567.219482421875
1720448736.5493689,4652516,1548.784423828125
1720465883.301528,4702500,1569.5347900390625
1720483223.076127,4752516,1559.986572265625
1720500705.2908447,4802500,1558.2066650390625
1720518334.0860302,4852516,1550.71923828125
1720536127.7868276,4902500,1568.016357421875
1720554098.4362009,4952516,1554.097900390625
1720572224.286983,5002500,1560.9814453125
1720590572.660479,5052516,1555.8436279296875
1720609073.631865,5102500,1543.635009765625
1720627602.5024807,5152516,1549.421630859375
1720646386.309356,5202500,1539.0181884765625
