Wall time,Step,Value
1719348890.6902153,2500,2730.10107421875
1719354683.9931667,52516,6509.58837890625
1719360320.8956635,102500,6750.74755859375
1719365997.101998,152516,6305.72021484375
1719372132.3222737,202500,5786.9990234375
1719377982.4379416,252516,5230.4365234375
1719383903.4563413,302500,4854.80078125
1719390049.9475157,352516,4032.762939453125
1719396450.6585538,402500,3716.970458984375
1719403023.4724116,452516,3270.766357421875
1719409593.0236547,502500,2966.739013671875
1719416264.6233244,552516,2791.043701171875
1719423077.0354185,602500,2622.175048828125
1719429800.45929,652516,2477.75048828125
1719437098.0295758,702500,2382.1259765625
1719444187.002597,752516,2266.419921875
1719451389.9323683,802500,2246.719482421875
1719458703.9120038,852516,2154.265625
1719466156.0889952,902500,2113.1162109375
1719473676.178384,952516,2075.57421875
1719481281.9782355,1002500,2051.801025390625
1719489082.187764,1052516,2023.98876953125
1719497014.1961625,1102500,1992.1611328125
1719504921.5888638,1152516,1976.48681640625
1719512866.7948542,1202500,1956.003662109375
1719520968.0942433,1252516,1945.201171875
1719529169.0016613,1302500,1936.841064453125
1719537419.8660624,1352516,1901.98095703125
1719545835.0194387,1402500,1893.981201171875
1719554374.3893812,1452516,1880.7041015625
1719563034.8803127,1502500,1881.57373046875
1719571868.848819,1552516,1868.8665771484375
1719580788.3412764,1602500,1861.628173828125
1719589650.51608,1652516,1835.6837158203125
1719598695.6474528,1702500,1843.457763671875
1719607840.9925735,1752516,1826.492919921875
1719617053.1779237,1802500,1822.558837890625
1719626400.7652283,1852516,1803.1497802734375
1719635884.391648,1902500,1803.6002197265625
1719645482.901952,1952516,1781.2939453125
1719655104.4930253,2002500,1776.9822998046875
1719664862.9019969,2052516,1774.698974609375
1719674662.2280514,2102500,1777.02490234375
1719684652.2581112,2152516,1766.02734375
1719694707.474616,2202500,1764.434326171875
1719704929.3187869,2252516,1761.03759765625
1719715226.3645265,2302500,1760.26953125
1719725619.4268882,2352516,1748.2193603515625
1719736010.172626,2402500,1744.31494140625
1719746625.5570705,2452516,1734.00048828125
1719757281.3748944,2502500,1729.765625
1719768084.9407506,2552516,1727.05029296875
1719778994.7871585,2602500,1703.5548095703125
1719789970.9089403,2652516,1719.5848388671875
1719801058.6765842,2702500,1721.5291748046875
1719812262.9423082,2752516,1707.715576171875
1719823562.3498883,2802500,1695.49755859375
1719835018.8662877,2852516,1694.4517822265625
1719846528.3026876,2902500,1701.51318359375
1719858174.4338226,2952516,1693.0057373046875
1719869868.560429,3002500,1689.994384765625
1719881755.4239182,3052516,1683.6439208984375
1719893731.6136873,3102500,1680.302490234375
1719905804.832898,3152516,1682.52001953125
1719918011.3527257,3202500,1667.0107421875
1719930292.6733322,3252516,1683.3609619140625
1719942740.10065,3302500,1670.68994140625
1719955295.9471712,3352516,1669.62841796875
1719967975.9202573,3402500,1661.722412109375
1719980843.0290313,3452516,1662.607177734375
1719993783.0526183,3502500,1654.0771484375
1720006833.9752824,3552516,1657.663818359375
1720019931.233452,3602500,1668.1861572265625
1720033188.7829576,3652516,1635.1693115234375
1720046548.9136508,3702500,1656.233642578125
1720060001.3992813,3752516,1654.338623046875
1720073609.9743884,3802500,1637.2353515625
1720087348.2202353,3852516,1655.291748046875
1720101145.0287492,3902500,1643.3497314453125
1720115151.7459474,3952516,1632.267822265625
1720129221.9980655,4002500,1635.822509765625
1720143437.9515893,4052516,1630.3236083984375
1720157628.9774396,4102500,1627.6217041015625
1720172100.1342332,4152516,1626.470947265625
1720186692.9735446,4202500,1627.937255859375
1720201399.0445464,4252516,1624.8145751953125
1720216225.0772483,4302500,1625.397705078125
1720231166.7250526,4352516,1627.669189453125
1720246194.9410157,4402500,1618.8446044921875
1720261174.3599164,4452516,1611.2362060546875
1720276205.1299188,4502500,1626.5224609375
1720291515.1122777,4552516,1615.003662109375
1720306893.4230294,4602500,1613.8262939453125
1720322390.6521697,4652516,1623.25537109375
1720337967.5567086,4702500,1616.138671875
1720353851.7863414,4752516,1616.1546630859375
1720369769.1496243,4802500,1609.1514892578125
1720385841.4876122,4852516,1601.01953125
1720402086.7125983,4902500,1608.296630859375
1720418503.381914,4952516,1604.2425537109375
1720435046.6732216,5002500,1607.8631591796875
1720451744.2280588,5052516,1602.447509765625
1720468554.3622336,5102500,1614.038818359375
1720485601.8085837,5152516,1615.111572265625
1720502726.000466,5202500,1599.72265625
1720519979.8545246,5252516,1600.941162109375
1720537311.59173,5302500,1595.6571044921875
1720554868.9755104,5352516,1595.291259765625
1720572693.3399544,5402500,1582.89599609375
1720590704.654741,5452516,1604.2021484375
1720608841.931188,5502500,1585.3138427734375
1720627105.5306513,5552516,1597.3056640625
1720645346.8678083,5602500,1586.6280517578125
